Date,Open,High,Low,Close,Volume,Turnover
2010-01-04,10372.4,10525.2,10372.4,10508.0,94783269.0,16165400000.0
2010-01-05,10560.05,10679.25,10560.05,10667.1,134838738.0,25919300000.0
2010-01-06,10694.35,10773.3,10680.3,10757.85,113287697.0,26041000000.0
2010-01-07,10745.4,10788.45,10656.7,10669.75,104140284.0,20365600000.0
2010-01-08,10680.6,10731.6,10633.1,10660.45,113301450.0,20811700000.0
2010-01-11,10714.8,10801.2,10710.45,10743.1,88536650.0,18805200000.0
2010-01-12,10751.45,10812.15,10606.0,10632.7,102360791.0,21430300000.000004
2010-01-13,10533.1,10709.65,10533.1,10690.25,86055857.0,20900500000.0
2010-01-14,10724.75,10832.6,10724.75,10787.05,96368551.0,20667000000.0
2010-01-15,10814.15,10848.5,10745.7,10760.0,85415594.0,20871000000.0
2010-01-18,10744.55,10834.7,10726.0,10811.2,76658506.0,16548100000.0
2010-01-19,10835.3,10896.5,10693.8,10709.15,70724171.0,16839000000.0
2010-01-20,10727.35,10818.5,10636.8,10701.95,73986739.0,18445100000.0
2010-01-21,10670.25,10670.25,10408.85,10434.9,70639934.0,17252000000.0
2010-01-22,10434.0,10434.0,10094.05,10350.75,92185062.0,20887399999.999996
2010-01-25,10317.1,10333.25,10147.35,10167.85,52772209.0,15273000000.0
2010-01-27,10093.35,10132.45,9763.95,9801.65,95755117.0,23775700000.0
2010-01-28,9854.75,9999.3,9825.85,9905.65,137021548.0,28489400000.0
2010-01-29,9836.15,10014.3,9646.6,9985.7,136886803.0,26068000000.0
2010-02-01,9954.45,10184.3,9920.0,10151.65,80535476.0,17096900000.0
2010-02-02,10182.15,10287.25,10015.55,10042.05,95413504.0,19812500000.0
2010-02-03,10027.0,10263.15,10027.0,10253.1,94845961.0,19150100000.0
2010-02-04,10221.05,10246.2,10036.2,10059.35,87379230.0,16355900000.0
2010-02-05,9990.5,9990.5,9712.25,9828.25,127856389.0,20864800000.0
2010-02-06,9857.85,9996.95,9857.0,9961.45,17387499.0,2367500000.0
2010-02-08,9982.2,10073.15,9825.9,9972.2,92002149.0,17862100000.0
2010-02-09,9958.35,10028.5,9923.4,10010.9,65586402.0,14972000000.0
