Date,Open,High,Low,Close,Volume,Turnover
2010-01-04,,,,4703.36,10900000.0,7378300000.0
2010-01-05,,,,4704.85,16100000.0,9826400000.0
2010-01-06,,,,4703.49,14200000.0,8823500000.0
2010-01-07,,,,4722.05,20500000.0,13371900000.0
2010-01-08,,,,4743.02,19300000.0,13720100000.0
2010-01-11,,,,4760.88,16100000.0,9591500000.0
2010-01-12,,,,4699.22,15300000.0,9222000000.0
2010-01-13,,,,4721.43,16300000.0,10397700000.0
2010-01-14,,,,4739.97,17000000.0,9751000000.0
2010-01-15,,,,4745.55,18900000.0,10993000000.0
2010-01-18,,,,4741.23,10000000.0,7166700000.0
2010-01-19,,,,4691.97,11200000.0,7537100000.0
2010-01-20,,,,4714.09,13300000.0,8706100000.0
2010-01-21,,,,4610.42,15800000.0,9655000000.0
2010-01-22,,,,4549.88,22000000.0,11273400000.0
2010-01-25,,,,4551.72,14200000.0,7642400000.0
2010-01-27,,,,4394.38,27800000.0,12835600000.0
2010-01-28,,,,4399.26,27100000.0,16976700000.0
2010-01-29,,,,4385.2,24700000.0,13503500000.0
2010-02-01,,,,4417.12,19300000.0,9961300000.0
2010-02-02,,,,4370.48,25100000.0,11593200000.0
2010-02-03,,,,4429.49,16200000.0,8528300000.0
2010-02-04,,,,4333.81,16000000.0,8654700000.0
2010-02-05,,,,4268.31,16800000.0,8169400000.000001
2010-02-06,,,,4308.57,1371888.0,845400000.0000001
2010-02-08,,,,4313.81,15100000.0,7880900000.0
2010-02-09,,,,4338.99,14800000.0,7362900000.0
2010-02-10,,,,4331.12,13900000.0,7136900000.000001
2010-02-11,,,,4394.02,12500000.0,6026799999.999999
2010-02-15,,,,4356.43,9261592.0,4873200000.0
2010-02-16,,,,4438.4,12900000.0,6389200000.0
2010-02-17,,,,4500.67,16200000.0,8822900000.0
2010-02-18,,,,4482.13,10700000.0,6001799999.999999
2010-02-19,,,,4466.84,15100000.0,7710200000.0
2010-02-22,,,,4468.33,9667206.0,5344500000.0
2010-02-23,,,,4460.11,10800000.0,6110800000.0
2010-02-24,,,,4457.97,10900000.0,6210000000.0
2010-02-25,,,,4430.12,19500000.0,10201200000.0
2010-02-26,,,,4515.65,32200000.0,16856400000.000002
2010-03-02,,,,4577.85,18200000.0,10845800000.0
2010-03-03,,,,4622.24,20500000.0,11640400000.0
2010-03-04,,,,4656.01,24500000.0,13087500000.0
2010-03-05,,,,4655.2,16700000.0,9392700000.0
2010-03-08,,,,4677.55,18100000.0,10886000000.0
2010-03-09,,,,4653.81,15000000.0,9120300000.0
2010-03-10,,,,4650.29,14600000.0,8829200000.0
2010-03-11,,,,4612.45,17600000.0,8427600000.0
2010-03-12,,,,4620.34,24400000.0,9959200000.0
2010-03-15,,,,4602.69,19400000.0,9066300000.0
2010-03-16,,,,4644.55,11800000.0,6603400000.0
2010-03-17,,,,4635.91,17100000.0,8491700000.0
2010-03-18,,,,4635.76,11700000.0,6283500000.0
2010-03-19,,,,4677.87,13700000.0,7331200000.0
2010-03-22,,,,4632.71,14500000.0,7466500000.0
2010-03-23,,,,4669.28,19700000.0,9041800000.0
2010-03-25,,,,4686.4,25400000.0,11599900000.0
2010-03-26,,,,4708.29,16000000.0,7451700000.0
2010-03-29,,,,4723.14,11700000.0,6820300000.0
2010-03-30,,,,4725.73,20600000.0,10260500000.0
2010-03-31,,,,4752.33,16200000.0,8502300000.0
2010-04-01,,,,4730.66,14100000.0,7964600000.0
2010-04-05,,,,4752.89,11000000.0,5784700000.0
2010-04-06,,,,4738.56,10500000.0,6130500000.0
2010-04-07,,,,4749.97,12600000.0,7466900000.000001
2010-04-08,,,,4723.6,14100000.0,8192000000.0
2010-04-09,,,,4713.0,16800000.0,8517000000.0
2010-04-12,,,,4714.77,15300000.0,7971300000.0
2010-04-13,,,,4674.09,12200000.0,6662900000.0
2010-04-15,,,,4692.13,14900000.0,7226300000.0
2010-04-16,,,,4712.91,16000000.0,8011200000.0
2010-04-19,,,,4636.29,16800000.0,8403700000.0
2010-04-20,,,,4655.09,14000000.0,7223400000.0
2010-04-21,,,,4716.74,12100000.0,5851300000.0
2010-04-22,,,,4722.29,16300000.0,7868500000.0
2010-04-23,,,,4683.74,12900000.0,6951400000.0
2010-04-26,,,,4671.89,10700000.0,6895900000.0
2010-04-27,,,,4669.52,18200000.0,10137400000.0
2010-04-28,,,,4632.34,14700000.0,7642300000.0
2010-04-29,,,,4632.66,21700000.0,10000000000.0
2010-04-30,,,,4677.19,14400000.0,7495700000.000001
2010-05-03,,,,4614.85,14500000.0,7368600000.0
2010-05-04,,,,4532.98,16000000.0,7994800000.0
2010-05-05,,,,4527.79,24400000.0,11517400000.0
2010-05-06,,,,4505.65,24100000.0,10800300000.0
2010-05-07,,,,4452.64,21400000.0,9680000000.0
2010-05-10,,,,4576.54,15300000.0,7648300000.0
2010-05-11,,,,4523.29,14800000.0,7480500000.0
2010-05-12,,,,4532.79,16700000.0,8172300000.0
2010-05-13,,,,4567.84,13500000.0,7017700000.0
2010-05-14,,,,4476.08,24200000.0,15414000000.0
2010-05-17,,,,4545.63,28500000.0,16717200000.0
2010-05-18,,,,4521.46,17800000.0,9250000000.0
2010-05-19,,,,4397.31,19700000.0,9732200000.0
2010-05-20,,,,4397.47,22300000.0,9988100000.0
2010-05-21,,,,4354.97,23500000.0,10096300000.0
2010-05-24,,,,4354.79,14300000.0,6679200000.0
2010-05-25,,,,4267.56,20500000.0,9100400000.0
2010-05-26,,,,4327.46,36400000.0,13633800000.000002
2010-05-27,,,,4374.02,35400000.0,15668300000.0
2010-05-28,,,,4451.98,30200000.0,13050100000.0
2010-05-31,,,,4498.18,28200000.0,12082000000.0
2010-06-01,,,,4427.6,18400000.0,9150900000.0
2010-06-02,,,,4478.06,16300000.0,7562000000.0
2010-06-03,,,,4537.83,18600000.0,8420400000.0
2010-06-04,,,,4572.8,17600000.0,7851500000.0
2010-06-07,,,,4524.81,15900000.0,7197500000.0
2010-06-08,,,,4498.65,17900000.0,8225500000.0
2010-06-09,,,,4522.68,20900000.0,9147400000.0
2010-06-10,,,,4582.97,16300000.0,7867400000.0
2010-06-11,,,,4613.02,16700000.0,8031100000.0
2010-06-14,,,,4640.93,13200000.0,5643300000.0
2010-06-15,,,,4657.7,15400000.0,6908600000.0
2010-06-16,,,,4679.87,17500000.0,8828600000.0
2010-06-17,,,,4698.42,17900000.0,9236000000.0
2010-06-18,,,,4673.29,13900000.0,7002900000.0
2010-06-21,,,,4754.57,25100000.0,10767700000.0
2010-06-22,,,,4732.81,20700000.0,8940600000.0
2010-06-23,,,,4781.16,18900000.0,8635600000.0
2010-06-24,,,,4784.33,26200000.0,12232500000.0
2010-06-25,,,,4757.63,14400000.0,8033500000.0
2010-06-28,,,,4777.94,11300000.0,5943000000.0
2010-06-29,,,,4726.24,15600000.0,8986400000.0
2010-06-30,,,,4762.56,18800000.0,10219600000.0
2010-07-01,,,,4740.17,17600000.0,9083300000.0
2010-07-02,,,,4723.36,13900000.0,7305300000.0
2010-07-05,,,,4712.22,7618960.0,3988900000.0
2010-07-06,,,,4750.93,12300000.0,6619800000.0
2010-07-07,,,,4727.43,12900000.0,7096200000.0
2010-07-08,,,,4762.29,12700000.0,7105100000.0
2010-07-09,,,,4750.5,9222281.0,5118600000.0
2010-07-12,,,,4771.88,12900000.0,5976300000.0
2010-07-13,,,,4775.4,17400000.0,7623300000.0
2010-07-14,,,,4751.03,13300000.0,6287600000.0
2010-07-15,,,,4732.5,13100000.0,6112700000.0
2010-07-16,,,,4750.4,11200000.0,4926700000.0
2010-07-19,,,,4735.59,9452939.0,4598400000.0
2010-07-20,,,,4717.32,10800000.0,5042000000.0
2010-07-21,,,,4730.9,14000000.0,6358500000.0
2010-07-22,,,,4762.41,14600000.0,7198600000.0
2010-07-23,,,,4766.24,14800000.0,7553700000.0
2010-07-26,,,,4705.22,15700000.0,11987900000.0
2010-07-27,,,,4701.3,19100000.0,11984900000.0
2010-07-28,,,,4693.71,25500000.0,14967700000.0
2010-07-29,,,,4699.02,21100000.0,12439300000.0
2010-07-30,,,,4663.33,14200000.0,7295800000.0
2010-08-02,,,,4699.48,10100000.0,5493900000.0
2010-08-03,,,,4706.74,11100000.0,6280300000.0
2010-08-04,,,,4729.92,11900000.0,6092100000.0
2010-08-05,,,,4743.13,11500000.0,7137300000.0
2010-08-06,,,,4726.56,9574520.0,5681900000.000001
2010-08-09,,,,4735.28,8004231.0,4507800000.0
2010-08-10,,,,4728.98,15900000.0,8812100000.0
2010-08-11,,,,4696.41,10600000.0,6094700000.0
2010-08-12,,,,4708.7,17300000.0,7850700000.000001
2010-08-13,,,,4764.45,14600000.0,6989100000.0
2010-08-16,,,,4694.88,59300000.0,21924800000.0
2010-08-17,,,,4691.32,32800000.0,12575300000.0
2010-08-18,,,,4733.78,20300000.0,8319100000.0
2010-08-19,,,,4776.99,19300000.0,9712600000.0
2010-08-20,,,,4769.95,13500000.0,7252400000.0
2010-08-23,,,,4767.37,10500000.0,5070400000.0
2010-08-24,,,,4780.89,23100000.0,9918200000.0
2010-08-25,,,,4728.72,17300000.0,7608900000.0
2010-08-26,,,,4715.4,17500000.0,9186700000.0
2010-08-27,,,,4693.31,13200000.0,6459500000.0
2010-08-30,,,,4701.58,9621231.0,4743400000.0
2010-08-31,,,,4704.49,11700000.0,5389000000.0
2010-09-01,,,,4761.9,14100000.0,6397500000.0
2010-09-02,,,,4768.31,9903377.0,4973000000.0
2010-09-03,,,,4789.2,11200000.0,5371500000.0
2010-09-06,,,,4822.72,10400000.0,5343300000.0
2010-09-07,,,,4827.62,14200000.0,8038099999.999999
2010-09-08,,,,4829.23,13800000.0,7320400000.0
2010-09-09,,,,4829.69,12900000.0,5984600000.0
2010-09-13,,,,4866.53,13100000.0,6069700000.0
2010-09-14,,,,4861.78,15200000.0,8330200000.0
2010-09-15,,,,4915.06,15800000.0,8346600000.0
2010-09-16,,,,4918.46,14200000.0,8354600000.0
2010-09-17,,,,4990.3,17300000.0,8432000000.0
2010-09-20,,,,5077.07,18300000.0,8733400000.0
2010-09-21,,,,5116.66,21400000.0,10649100000.0
2010-09-22,,,,5119.05,18400000.0,9636900000.0
2010-09-23,,,,5126.32,13400000.0,6526900000.000001
2010-09-24,,,,5192.75,21700000.0,10272900000.0
2010-09-27,,,,5190.21,12600000.0,6793400000.0
2010-09-28,,,,5193.17,12300000.0,7013800000.0
2010-09-29,,,,5160.7,11500000.0,7154400000.000001
2010-09-30,,,,5167.62,21300000.0,10219400000.0
2010-10-01,,,,5247.09,15900000.0,7668700000.0
2010-10-04,,,,5290.34,15100000.0,7065100000.0
2010-10-05,,,,5274.06,11300000.0,5668700000.0
2010-10-06,,,,5286.1,13100000.0,5813900000.0
2010-10-07,,,,5219.92,13600000.0,6117700000.0
2010-10-08,,,,5210.19,11300000.0,5242700000.0
2010-10-11,,,,5251.45,12300000.0,5406700000.0
2010-10-12,,,,5214.59,7352629.0,3856000000.0
2010-10-13,,,,5325.84,11600000.0,6974400000.000001
2010-10-14,,,,5302.36,14600000.0,7085100000.0
2010-10-15,,,,5246.03,10200000.0,5198099999.999999
2010-10-18,,,,5233.78,11400000.0,5292600000.0
2010-10-19,,,,5202.75,12600000.0,5164400000.000001
2010-10-20,,,,5181.67,8354907.0,3639900000.0
2010-10-21,,,,5254.51,9281155.0,3953399999.9999995
2010-10-22,,,,5236.98,9360730.0,4124000000.0
2010-10-25,,,,5261.15,13800000.0,5662600000.0
2010-10-26,,,,5218.39,13300000.0,7840700000.000001
2010-10-27,,,,5147.71,14100000.0,6183500000.0
2010-10-28,,,,5124.97,23500000.0,10449700000.0
2010-10-29,,,,5142.5,13400000.0,5681700000.0
2010-11-01,,,,5168.06,9226035.0,4832500000.0
2010-11-02,,,,5175.03,6870783.0,3572500000.0
2010-11-03,,,,5193.83,8082516.0,3790299999.9999995
2010-11-04,,,,5221.81,9014131.0,4072700000.0
2010-11-05,,,,5259.91,1435388.0,639700000.0
2010-11-08,,,,5255.43,12000000.0,5074900000.0
2010-11-09,,,,5317.72,12400000.0,5845900000.0
2010-11-10,,,,5281.74,7798104.0,3621200000.0
2010-11-11,,,,5218.21,11800000.0,5819900000.0
2010-11-12,,,,5149.75,10800000.0,4603000000.0
2010-11-15,,,,5148.45,7127054.0,3126300000.0
2010-11-16,,,,5104.64,10300000.0,4912300000.0
2010-11-18,,,,5114.46,9645485.0,4377700000.0
2010-11-19,,,,5037.73,9059173.0,3725200000.0
2010-11-22,,,,5084.47,6764471.0,2756000000.0
2010-11-23,,,,5086.79,14400000.0,6469800000.0
2010-11-24,,,,5046.62,8639830.0,3947500000.0
2010-11-25,,,,4928.81,14900000.0,6825900000.0
2010-11-26,,,,4844.4,13600000.0,5575200000.0
2010-11-29,,,,4939.83,13700000.0,5451100000.0
2010-11-30,,,,4993.8,11100000.0,4600900000.0
2010-12-01,,,,5002.53,12000000.0,4832700000.0
2010-12-02,,,,5019.4,10900000.0,4322600000.0
2010-12-03,,,,5007.6,10800000.0,4183300000.0
2010-12-06,,,,5017.03,8925944.0,3589800000.0
2010-12-07,,,,5011.38,8083865.0,3683200000.0
2010-12-08,,,,4993.93,5976762.0,2633399999.9999995
2010-12-09,,,,4885.96,9513542.0,3742100000.0
2010-12-10,,,,4954.66,8746997.0,3621300000.0
2010-12-13,,,,5014.35,8830930.0,3698399999.9999995
2010-12-14,,,,5034.54,9955215.0,3787200000.0000005
2010-12-15,,,,4989.92,7274101.0,2910600000.0
2010-12-16,,,,4963.27,7541031.0,3311900000.0
2010-12-20,,,,4980.07,8134882.0,3708900000.0
2010-12-21,,,,5016.57,12800000.0,5320800000.0
2010-12-22,,,,5003.47,10300000.0,4380900000.0
2010-12-23,,,,4989.63,8472047.0,3768300000.0
2010-12-24,,,,5038.48,10100000.0,4319400000.0
2010-12-27,,,,5060.71,7758595.0,3343300000.0
2010-12-28,,,,5060.01,6290371.0,2912799999.9999995
2010-12-29,,,,5132.31,6668969.0,2921400000.0
2010-12-30,,,,5163.34,10900000.0,4415300000.0
2010-12-31,,,,5205.75,7510754.0,3489600000.0
2011-01-03,,,,5248.64,6504391.0,3274400000.0
2011-01-04,,,,5273.5,15600000.0,6748200000.000001
2011-01-05,,,,5287.62,11800000.0,4975500000.0
2011-01-06,,,,5242.44,11300000.0,4674000000.0
2011-01-07,,,,5138.2,9008790.0,4023399999.9999995
2011-01-10,,,,5047.52,8266042.0,3478000000.0
2011-01-11,,,,5035.42,10300000.0,4385400000.0
2011-01-12,,,,5075.94,9671931.0,4411000000.0
2011-01-13,,,,5048.51,8093226.0,3442200000.0000005
2011-01-14,,,,4983.96,9349449.0,4374900000.0
2011-01-17,,,,4966.38,7663238.0,2809000000.0
2011-01-18,,,,4995.49,8393281.0,3284900000.0
2011-01-19,,,,4977.37,7688952.0,3136300000.0
2011-01-20,,,,4976.41,6128984.0,2538500000.0
2011-01-21,,,,4959.06,7747221.0,3409500000.0
2011-01-24,,,,4972.41,9709598.0,3604500000.0
2011-01-25,,,,4909.77,11200000.0,4193100000.0
2011-01-27,,,,4835.27,17513876.0,6741100000.0
2011-01-28,,,,4788.33,12663081.0,5224299999.999999
2011-01-31,4806.15,4882.45,4766.35,4870.7,16037494.0,9872400000.0
2011-02-01,4895.9,4910.55,4800.9,4812.65,10152497.0,5686500000.0
2011-02-02,4837.7,4857.0,4798.2,4808.1,7457976.0,3671500000.0
2011-02-03,4791.35,4848.3,4788.25,4830.65,7897968.0,3480400000.0
2011-02-04,4836.2,4836.3,4726.3,4745.4,9709377.0,4553400000.0
2011-02-07,4778.6,4778.6,4721.35,4734.15,8067073.0,3112100000.0
2011-02-08,4753.65,4753.65,4697.4,4713.4,6042706.0,2732100000.0
2011-02-09,4704.55,4724.0,4628.3,4643.15,10453639.0,4103200000.0
2011-02-10,4627.65,4654.3,4604.5,4642.4,9074426.0,4045299999.9999995
2011-02-11,4649.7,4666.6,4597.25,4662.65,13438437.0,5017300000.0
2011-02-14,4693.5,4749.1,4689.75,4746.45,7864813.0,3524900000.0
2011-02-15,4755.4,4777.2,4732.95,4755.4,6287306.0,2522500000.0
2011-02-16,4756.1,4778.4,4747.5,4754.15,5099646.0,2074300000.0
2011-02-17,4751.35,4782.2,4734.4,4766.35,6704293.0,2733800000.0
2011-02-18,4766.4,4817.5,4759.3,4767.15,8907850.0,3663200000.0
2011-02-21,4775.4,4781.5,4721.75,4769.3,7182570.0,3025200000.0
2011-02-22,4765.75,4765.75,4725.9,4739.4,13149221.0,5046600000.0
2011-02-23,4726.55,4735.45,4705.6,4717.2,12166058.0,5524600000.0
2011-02-24,4701.4,4713.8,4635.35,4655.35,17958215.0,7271100000.0
2011-02-25,4664.6,4664.6,4572.1,4613.75,26026249.0,11013200000.0
2011-02-28,4617.3,4684.4,4604.0,4616.0,19998085.0,7270300000.0
2011-03-01,4625.15,4734.25,4621.0,4727.3,18404577.0,7211200000.0
2011-03-03,4719.2,4786.75,4707.6,4775.55,14771150.0,5923600000.0
2011-03-04,4783.4,4802.25,4751.0,4763.6,14791132.0,6109700000.0
2011-03-07,4737.15,4739.6,4691.1,4709.7,10025218.0,3985200000.0
2011-03-08,4712.85,4749.35,4712.65,4726.55,9314958.0,3971400000.0
2011-03-09,4736.9,4742.2,4708.85,4718.55,11626100.0,4421100000.0
2011-03-10,4714.85,4719.1,4692.65,4706.15,7112259.0,2820899999.9999995
2011-03-11,4683.7,4724.55,4663.75,4684.6,6997658.0,2818399999.9999995
2011-03-14,4672.6,4700.6,4660.85,4694.3,5537973.0,2703100000.0
2011-03-15,4649.45,4659.2,4602.45,4625.1,10356613.0,4216000000.0
2011-03-16,4636.5,4648.9,4606.6,4615.4,13580519.0,5196200000.0
2011-03-17,4597.55,4625.75,4580.9,4590.5,8903629.0,4327700000.0
2011-03-18,4619.2,4624.6,4544.9,4561.9,9896627.0,4566800000.0
2011-03-21,4577.6,4586.4,4507.25,4515.1,10551690.0,4516400000.0
2011-03-22,4529.85,4574.4,4514.45,4562.4,11200370.0,4725700000.0
2011-03-23,4563.95,4594.75,4555.55,4590.85,10557180.0,4356900000.0
2011-03-24,4595.0,4615.8,4592.35,4607.8,6491663.0,3196800000.0
2011-03-25,4622.6,4645.45,4607.5,4638.25,9387932.0,4142400000.0
2011-03-28,4640.0,4682.95,4640.0,4677.25,10751410.0,4549600000.0
2011-03-29,4679.0,4731.7,4672.05,4718.6,15135075.0,5815100000.0
2011-03-30,4719.0,4760.15,4716.0,4741.7,10908749.0,5390100000.0
2011-03-31,4754.95,4798.05,4754.2,4787.4,16381017.0,7735100000.0
2011-04-01,4782.0,4819.0,4782.0,4801.35,7830078.0,3582900000.0
2011-04-04,4808.65,4838.4,4773.05,4835.3,8908857.0,4118600000.0
2011-04-05,4837.5,4876.55,4834.15,4870.4,15383149.0,6411400000.0
2011-04-06,4892.05,4916.35,4858.6,4866.25,21691633.0,8499800000.0
2011-04-07,4857.9,4861.05,4825.05,4831.05,15552597.0,6698099999.999999
2011-04-08,4833.05,4861.1,4810.4,4823.25,9687259.0,4371100000.0
2011-04-11,4815.65,4822.35,4761.5,4769.15,8992613.0,3428900000.0
2011-04-13,4744.55,4873.6,4744.55,4864.45,12521200.0,5465000000.0
2011-04-15,4842.35,4842.35,4773.65,4786.8,9038410.0,4182100000.0
2011-04-18,4796.1,4837.95,4765.5,4773.95,10508979.0,4219300000.0
2011-04-19,4756.2,4791.85,4739.65,4769.1,16312240.0,5901799999.999999
2011-04-20,4788.55,4853.35,4788.55,4849.5,8637975.0,3614800000.0
2011-04-21,4864.4,4895.1,4854.65,4889.35,13080762.0,5303600000.0
2011-04-25,4894.55,4924.7,4883.2,4919.2,13792498.0,7188300000.0
2011-04-26,4909.5,4924.9,4856.9,4904.3,17319697.0,7754200000.0
2011-04-27,4913.6,4939.55,4907.95,4925.65,17659508.0,8311200000.0
2011-04-28,4924.6,4944.4,4882.6,4891.35,20096909.0,8861200000.0
2011-04-29,4894.6,4959.05,4892.55,4921.75,14192303.0,5532300000.0
2011-05-02,4933.35,4940.95,4890.25,4899.85,6086666.0,2911700000.0
2011-05-03,4900.25,4910.5,4828.7,4834.1,6717158.0,3204800000.0
2011-05-04,4835.9,4858.25,4803.55,4836.4,7527335.0,3384300000.0
2011-05-05,4813.65,4831.75,4730.55,4746.5,8118930.0,3841000000.0
2011-05-06,4744.45,4800.8,4731.9,4785.0,10414519.0,4327800000.0
2011-05-09,4795.8,4844.1,4756.85,4828.8,10476542.0,3640899999.9999995
2011-05-10,4836.2,4901.55,4835.35,4887.65,12300478.0,4490000000.0
2011-05-11,4890.35,4952.95,4883.35,4942.45,12772799.0,7047500000.0
2011-05-12,4927.15,4962.25,4905.95,4916.3,11652293.0,4950500000.0
2011-05-13,4912.7,5013.2,4907.55,4977.0,12341327.0,5257500000.0
2011-05-16,4974.4,5006.6,4954.75,4982.15,11005076.0,4992000000.0
2011-05-17,4976.6,4995.85,4937.05,4967.35,8661040.0,3525400000.0
2011-05-18,4972.1,4972.35,4929.55,4959.8,7752415.0,3343800000.0
2011-05-19,4962.4,4978.45,4940.1,4954.2,5226969.0,2108500000.0
2011-05-20,4955.3,4989.5,4941.2,4971.15,5996035.0,2301800000.0
2011-05-23,4945.45,4945.45,4891.55,4896.45,8333828.0,3042600000.0
2011-05-24,4892.05,4909.0,4873.7,4900.0,7571300.0,2747300000.0
2011-05-25,4900.1,4919.75,4864.1,4885.65,7540248.0,2961200000.0
2011-05-26,4898.6,4964.7,4888.7,4945.75,12112302.0,5081900000.0
2011-05-27,4935.0,4958.9,4929.0,4950.2,6954619.0,2831700000.0
2011-05-30,4948.0,4963.25,4932.15,4953.8,12428603.0,5083100000.0
2011-05-31,4956.1,5000.45,4953.05,4992.3,7922024.0,3761400000.0
2011-06-01,4986.6,5048.9,4986.6,5038.25,8924803.0,3992000000.0
2011-06-02,5019.75,5073.85,5011.1,5045.8,9591595.0,3749000000.0
2011-06-03,5049.5,5072.55,5019.3,5047.5,6052408.0,2509200000.0
2011-06-06,5039.9,5048.0,5014.65,5031.25,3858567.0,1716000000.0
2011-06-07,5004.2,5031.1,4999.85,5018.95,5359819.0,2315300000.0
2011-06-08,4996.9,5033.2,4989.05,5024.9,5204901.0,2218900000.0
